OrderID,ProductID,Quantity,Price
315,535,82,5.49
316,262,28,59.99
317,829,9,2.79
318,351,14,22.99
319,453,57,14.99
320,626,46,49.99
321,713,25,4.29
257,632,18,4.5
628,137,37,2.49
583,744,26,4.99
29,676,73,3.29
518,506,5,22.99
95,55,75,29.99
308,587,25,109.99
113,969,56,4.49
724,265,47,24.99
667,737,52,59.99
621,731,83,29.99
622,612,4,3.29
623,739,39,5.99
624,682,49,45.99
625,699,49,4.99
626,399,24,89.99
627,289,57,2.59
628,380,14,3.49
549,929,55,4.99
735,148,59,6.99
778,507,36,3.49
880,154,89,34.99
718,785,94,14.99
121,308,35,5.49
143,606,32,1.29
187,490,16,24.99
188,386,21,54.99
189,286,6,49.99
190,358,30,28.99
191,215,42,1.49
192,205,25,89.99
193,221,63,3.99
194,605,91,4.09
569,578,97,6.99
724,583,84,4.19
342,713,72,2.99
347,151,64,29.99
40,965,44,6.99
920,120,36,39.99
837,547,93,6.99
772,327,63,1.99
473,518,18,29.99
822,916,47,39.99
125,21,43,24.99
126,768,7,22.99
127,777,85,5.49
128,678,87,59.99
129,489,61,39.99
130,112,31,29.99
131,429,77,29.99
132,612,56,22.99
133,507,51,29.99
134,176,39,2.49
135,757,82,2.49
136,850,90,34.99
145,263,48,22.99
351,616,93,3.49
526,876,79,29.99
131,290,97,89.99
453,99,69,39.99
974,422,4,19.99
546,24,45,9.99
766,945,42,2.99
600,127,76,14.99
740,567,39,8.99
330,898,77,22.99
110,733,42,1.99
111,387,49,2.49
112,136,14,19.99
113,750,27,29.99
114,608,27,2.49
115,53,22,3.99
116,762,13,19.99
117,318,39,3.79
65,20,7,19.99
777,630,61,3.49
313,970,85,4.99
819,676,8,49.99
200,197,57,29.99
402,370,92,69.99
192,929,23,1.79
613,283,31,3.29
273,825,4,12.99
400,306,95,9.99
152,93,94,19.99
636,565,19,2.49
115,535,68,4.49
944,494,60,3.29
945,791,43,14.99
946,704,46,34.99
947,977,92,29.99
948,283,23,29.99
949,482,93,14.99
950,59,8,7.99
951,853,8,2.49
653,476,94,4.29
403,145,19,44.99
550,546,19,7.99
682,424,73,59.99
447,664,44,99.99
769,617,44,69.99
998,466,86,6.99
999,278,23,39.99
1000,895,87,119.99
900,20,1,5.49
901,277,36,2.99
902,277,84,5.99
903,686,62,2.89
904,109,79,4.29
900,44,45,4.29
6,174,93,29.99
990,409,67,1.99
756,991,40,3.49
325,924,4,4.99
758,431,58,2.99
